"step";"fold";"nll_train";"nll_test";"method"
"100";"1";"7.98057746887207";"7.04816150665283";"model_5"
"200";"1";"6.62101173400879";"5.59065055847168";"model_5"
"300";"1";"5.81926298141479";"4.83207082748413";"model_5"
"400";"1";"5.38843059539795";"4.5255274772644";"model_5"
"500";"1";"5.07687950134277";"4.36260890960693";"model_5"
"100";"2";"7.66172027587891";"6.54540729522705";"model_5"
"200";"2";"6.34264183044434";"5.41424179077148";"model_5"
"300";"2";"5.56907033920288";"4.83437585830688";"model_5"
"400";"2";"4.76688575744629";"4.21463871002197";"model_5"
"500";"2";"4.39809131622314";"4.01949977874756";"model_5"
